date,portfolio_return,portfolio_mean_forecast,portfolio_variance_forecast,portfolio_volatility_forecast,portfolio_var_forecast,portfolio_cvar_forecast,portfolio_risk_model,copula_family,copula_df,copula_avg_abs_correlation,copula_max_abs_correlation,copula_lower_tail_dependence,portfolio_var_breach,portfolio_cvar_breach
2022-12-21,-0.014091686473515885,0.00030388433905302576,2.0425064362976058e-05,0.004519409736124404,-0.01013139104135452,-0.012065918904538262,gaussian_copula_simulation,gaussian,6,0.509172832802418,0.8263777603691985,0.0186,1,1
2022-12-22,0.0008460514532395713,-0.00023018744293173507,1.4141133159946525e-05,0.0037604698057485484,-0.008644325584927098,-0.009885665123480006,gaussian_copula_simulation,gaussian,6,0.5046735540559272,0.8276910092626893,0.017599999999999998,0,0
2022-12-23,0.007896640050181425,-0.0002237786169976503,1.3421815946633947e-05,0.003663579662929953,-0.00839366260005046,-0.009601153262149185,gaussian_copula_simulation,gaussian,6,0.5058959639017806,0.8287818664318605,0.017599999999999998,0,0
2022-12-27,-0.008280677748476073,-0.00017540977054644692,2.4856565869407034e-05,0.004985635954359988,-0.010934684984839503,-0.012338321386897479,gaussian_copula_simulation,gaussian,6,0.507276234021134,0.8284781495153901,0.018,0,0
2022-12-28,-0.0018822324964373749,-0.00020898848750156625,2.1602279190552917e-05,0.004647825210843553,-0.010352692663553669,-0.011655539246488798,gaussian_copula_simulation,gaussian,6,0.5065891484720104,0.8289397915808561,0.018,0,0
2022-12-29,-0.0011016219956543338,-0.00023669092212815998,1.6932659587617417e-05,0.004114931298043433,-0.009312771709990106,-0.010576399095440519,gaussian_copula_simulation,gaussian,6,0.5068845228222884,0.8295125417435368,0.018,0,0
2022-12-30,-0.001396751963634646,-0.0002424331264383286,1.421468894631469e-05,0.003770237253319039,-0.008557426329046875,-0.009810810806799073,gaussian_copula_simulation,gaussian,6,0.5073005954267333,0.8295283807412368,0.018,0,0
2023-01-02,-0.002209533845158873,-0.00025567268655555094,1.2345086001821878e-05,0.003513557456741227,-0.008040115213889079,-0.009240629649651121,gaussian_copula_simulation,gaussian,6,0.5071828546328967,0.830020635552449,0.018,0,0
2023-01-03,0.0005720855959086002,-0.0002683123930634825,1.1359358710398615e-05,0.0033703647740858282,-0.007739016178485056,-0.008903801934956162,gaussian_copula_simulation,gaussian,6,0.5064400311006292,0.8298793675708148,0.0178,0,0
2023-01-04,0.0033513282788653065,-0.00026004150012954013,1.0741008862406542e-05,0.0032773478397030947,-0.007569058799473372,-0.008625998760668862,gaussian_copula_simulation,gaussian,6,0.5069397007373808,0.8299582252647789,0.0178,0,0
2023-01-05,0.0020829963138622176,-0.00024554125842097765,1.2202674287568355e-05,0.003493232641489592,-0.007886075871708795,-0.00898879519205307,gaussian_copula_simulation,gaussian,6,0.5070691308921036,0.8304238076815698,0.018,0,0
