date,asset,mean_forecast,variance_forecast,volatility_forecast,loglik,aic,bic,persistence,nu,optimizer_nit,fallback_used,fit_message,risk_model,evt_valid,evt_threshold,evt_exceedance_rate,evt_shape,evt_scale,evt_n_exceedances,evt_message,var_forecast,cvar_forecast,realized_return,var_breach,cvar_breach,converged
2023-07-06,^CNXENERGY,0.0008206513115972988,8.750208052138831e-05,0.009354254674819812,-771.0561844827002,1556.1123689654005,1585.614625654356,0.8281802494049433,8.449475677903497,34,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.1686920795957032,0.1,-0.01189205783139266,0.7691734596470563,50,ok,-0.026454024840445164,-0.033372449805311996,0.02135819882007972,0,0,1
2023-07-06,^CNXIT,0.0005396554919272592,0.00012683134557476902,0.011261942353553805,-852.5402981521302,1719.0805963042603,1748.5828529932157,0.9229007708179691,7.8230776524808325,42,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.211477349751929,0.1,-0.0956059000500076,0.7986961753677202,50,ok,-0.03169414009402024,-0.03828185266796406,-0.001228908921985905,0,0,1
2023-07-06,^CNXPHARMA,-0.00012686227308910436,6.770387370683205e-05,0.008228236366733277,-673.755387970925,1361.51077594185,1391.0130326308054,0.8903703705965481,10.02325888999029,39,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.3138811834512711,0.1,0.21519507473515498,0.363993306557177,50,ok,-0.01986358930729941,-0.026127326261245497,0.007206010922679695,0,0,1
2023-07-06,^NSEBANK,0.0009903888209908636,6.499071545917755e-05,0.008061681924956947,-749.2335891236863,1512.4671782473727,1541.969434936328,0.9572684204453147,5.29668732113487,28,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.072727740385101,0.1,-0.2686838891050445,1.1341402551267339,50,ok,-0.023356539717770082,-0.027238535959453306,0.004157241576324466,0,0,1
2023-07-06,^NSEI,0.0008034962387068551,3.099969147756806e-05,0.005567736656628801,-624.2576488489852,1262.5152976979705,1292.017554386926,0.9572273231923727,16.70473723166332,38,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.297915651350427,0.1,-0.10133972588608474,0.6931750760758261,50,ok,-0.014348923920196531,-0.017123908626322782,0.0050802910218656905,0,0,1
2023-07-07,^CNXENERGY,0.0008876388549586994,0.00012193554056683666,0.011042442690221971,-773.3390858087937,1560.6781716175874,1590.1804283065428,0.8151630210377583,8.462659587597187,31,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.1635319394861579,0.1,-0.01933017486074827,0.7766307613636253,50,ok,-0.031274327513046256,-0.039321340215035507,-0.009580338623845108,0,0,1
2023-07-07,^CNXIT,0.0005561495676107542,0.00012500924316619178,0.011180753246816236,-852.3915210101874,1718.7830420203748,1748.2852987093302,0.9226329419384444,7.764893399723194,41,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.2094136736148227,0.1,-0.10075626802209384,0.8060398123926821,50,ok,-0.03148590687968774,-0.037977930944921225,-0.008245555911086555,0,0,1
2023-07-07,^CNXPHARMA,-0.0001237170190022409,6.408886204577939e-05,0.008005551951350975,-673.1636129886637,1360.3272259773273,1389.8294826662827,0.890813870487529,9.905345393066675,39,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.31505810482435,0.1,0.21470097960065387,0.364212545568823,50,ok,-0.019335605374524424,-0.02542272876613176,-0.007423867936720896,0,0,1
2023-07-07,^NSEBANK,0.0010088720531415398,6.256367943242928e-05,0.007909720566014281,-749.0397498607315,1512.079499721463,1541.5817564104184,0.9581547577125601,5.293003754489461,29,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.0754359560982314,0.1,-0.2640972068076404,1.1268626963978083,50,ok,-0.022874481433974844,-0.02671291885691622,-0.009192972387401355,0,0,1
2023-07-07,^NSEI,0.0008337504075262445,3.0047467919762323e-05,0.005481557070738416,-624.2532957847045,1262.506591569409,1292.0088482583644,0.9571307377589522,16.744302415740385,45,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,evt,1,1.2992597390135014,0.1,-0.10327564801559494,0.6947469651672002,50,ok,-0.014092467834207392,-0.01681373334876475,-0.008524585713269417,0,0,1
