date,portfolio_return,portfolio_mean_forecast,portfolio_variance_forecast,portfolio_volatility_forecast,portfolio_var_forecast,portfolio_cvar_forecast,portfolio_risk_model,copula_family,copula_df,copula_avg_abs_correlation,copula_max_abs_correlation,copula_lower_tail_dependence,portfolio_var_breach,portfolio_cvar_breach
2023-07-06,-0.002722939324975915,0.0001488948356806147,9.538472954926627e-06,0.003088441832854656,-0.006875783277896786,-0.007907664350213908,gaussian_copula_simulation,gaussian,6,0.49425927042020623,0.821570030992022,0.016,0,0
2023-07-07,2.708410856522292e-05,0.00014756713821055723,1.0674744874449163e-05,0.0032672228075919713,-0.007169298758835653,-0.008164816480368396,gaussian_copula_simulation,gaussian,6,0.494902315157295,0.8214600104661632,0.016,0,0
2023-07-10,0.0014830317507508184,-9.718956104897363e-05,1.0280146355895598e-05,0.0032062667318698856,-0.007173576570761634,-0.008052737389390684,gaussian_copula_simulation,gaussian,6,0.4968510382832929,0.8225974183177436,0.016,0,0
2023-07-11,0.00038256548597637163,-8.450269433757597e-05,1.010274709585236e-05,0.0031784818854057296,-0.0071163852001454924,-0.007896663885009867,gaussian_copula_simulation,gaussian,6,0.4966592294922352,0.8220938436191573,0.0162,0,0
2023-07-12,0.0019907738900939442,-9.320638714682885e-05,9.560565012136839e-06,0.0030920163343903665,-0.006951328228548737,-0.007687678339586605,gaussian_copula_simulation,gaussian,6,0.4971590837044878,0.821466127615389,0.0162,0,0
2023-07-13,-0.001455601809049245,-9.562342452467086e-05,9.160282080796911e-06,0.0030265957907849063,-0.006775702928219966,-0.007518657384468331,gaussian_copula_simulation,gaussian,6,0.4970335400722365,0.8217868744822241,0.0162,0,0
2023-07-14,-0.007680890824672382,-9.526602429091159e-05,1.1404442405682854e-05,0.003377046402654671,-0.007419242984962523,-0.008398650460848306,gaussian_copula_simulation,gaussian,6,0.497472869861501,0.8223345121972316,0.0162,1,0
2023-07-17,0.0011677991627219164,-0.00011115042919994953,1.0444935879737318e-05,0.003231862602236877,-0.007180080325388922,-0.008170368858014268,gaussian_copula_simulation,gaussian,6,0.49790252777758165,0.8215196742818888,0.0162,0,0
2023-07-18,-0.003705412650385931,-9.959809642866863e-05,9.806149574555474e-06,0.0031314772192298436,-0.006976738130120179,-0.007913782208514525,gaussian_copula_simulation,gaussian,6,0.49727860014648273,0.8209665918228833,0.016,0,0
2023-07-19,0.0005206160294615181,-0.0001166129637671564,9.305715174257602e-06,0.0030505270322122376,-0.00682424541046171,-0.007715597650827046,gaussian_copula_simulation,gaussian,6,0.4973198388238874,0.820955665297233,0.016,0,0
2023-07-20,0.005371401319000935,-0.00011966627050579821,9.075066625452375e-06,0.0030124851245196837,-0.006736992714749551,-0.007622968817621572,gaussian_copula_simulation,gaussian,6,0.49696291457460307,0.8207757825809299,0.0162,0,0
2023-07-21,0.008605083505269118,-0.0001083571120832344,9.180683701768123e-06,0.0030299643070122334,-0.006762653266234605,-0.007649415256618395,gaussian_copula_simulation,gaussian,6,0.497127757692806,0.8208861439485252,0.016800000000000002,0,0
2023-07-24,0.0012274184409846178,-2.7790449322524913e-05,1.6355341636889793e-05,0.004044173789155184,-0.008690628044043676,-0.009956067543339985,gaussian_copula_simulation,gaussian,6,0.499213275552748,0.8199664633396131,0.016,0,0
2023-07-25,-0.0014858025944000097,-3.626903759138116e-05,1.4232037296014107e-05,0.0037725372491221485,-0.008117308117499838,-0.009274481243019378,gaussian_copula_simulation,gaussian,6,0.4994434936827492,0.8202811009036932,0.016,0,0
2023-07-26,0.0005034247916642087,-5.1632415820435996e-05,1.3452215695114148e-05,0.003667726229575232,-0.007921377764029767,-0.009022904307060564,gaussian_copula_simulation,gaussian,6,0.49966567181399313,0.8200459820680658,0.0166,0,0
2023-07-27,0.00834634352729191,-5.1693653261394e-05,1.2546907981452725e-05,0.003542161484383896,-0.007715440701457916,-0.008693047681151783,gaussian_copula_simulation,gaussian,6,0.49999806914376627,0.8189133336824749,0.016,0,0
2023-07-28,-0.0005111846441088197,-4.0391997296817015e-05,1.224062410672969e-05,0.0034986603302878216,-0.0075364272445301176,-0.008544505024120132,gaussian_copula_simulation,gaussian,6,0.49738047397713103,0.8187831195759441,0.0166,0,0
2023-07-31,-0.005766489234034999,-3.288977590791183e-05,1.2084331610733864e-05,0.0034762525240168993,-0.007460232938026781,-0.008519872143780862,gaussian_copula_simulation,gaussian,6,0.49554313967361513,0.8193702900399218,0.016800000000000002,0,0
2023-08-01,-0.0024403688211873664,-4.6236827383437536e-05,1.2248139400725735e-05,0.003499734190010112,-0.007563674868502024,-0.008580022162549652,gaussian_copula_simulation,gaussian,6,0.49607263951192315,0.8204775668875646,0.016800000000000002,0,0
2023-08-02,0.0024844655807521043,-5.905406769076869e-05,1.1473622355365858e-05,0.0033872735873214993,-0.007355172710004177,-0.008320473275682014,gaussian_copula_simulation,gaussian,6,0.49638233411773197,0.8205309680374483,0.016800000000000002,0,0
2023-08-03,0.0025756166710162454,-3.5522345125353836e-05,1.333629170834743e-05,0.0036518887864155215,-0.007819460547765517,-0.008935600624445882,gaussian_copula_simulation,gaussian,6,0.49657581924169214,0.8208608133458605,0.016800000000000002,0,0
2023-08-04,-5.9677728854623524e-05,-4.032143215085429e-05,1.1690340221372915e-05,0.0034191139526744225,-0.0073654012065608575,-0.008378556080254567,gaussian_copula_simulation,gaussian,6,0.4953018703695037,0.8215056679301249,0.016800000000000002,0,0
2023-08-07,0.0019657938209260983,-4.102716073378559e-05,1.0630881011176796e-05,0.0032605031837397115,-0.007093286042392727,-0.007977172953215048,gaussian_copula_simulation,gaussian,6,0.4960308919509283,0.821074643683718,0.016800000000000002,0,0
2023-08-08,0.001763108092754262,-5.10721320726784e-05,9.90991176205132e-06,0.0031480012328541614,-0.0069020563139713794,-0.007729020546908537,gaussian_copula_simulation,gaussian,6,0.4974796429988748,0.8211274952929304,0.016800000000000002,0,0
2023-08-09,0.0002854029608254649,-3.969910421725339e-05,9.585723113465894e-06,0.003096081897086363,-0.00680191878566459,-0.007599226125068481,gaussian_copula_simulation,gaussian,6,0.49683848406442044,0.8207871129548068,0.016800000000000002,0,0
2023-08-10,-0.003268174212136543,-4.097346095673321e-05,9.279796686725131e-06,0.00304627587173669,-0.006678671665676714,-0.007487929221954236,gaussian_copula_simulation,gaussian,6,0.4960063648394943,0.8207498487480598,0.0166,0,0
2023-08-11,-0.004239869772858285,-6.121126185192813e-05,9.091000876044168e-06,0.0030151286665819365,-0.006713851675745323,-0.00746111108910809,gaussian_copula_simulation,gaussian,6,0.49813106931871365,0.8227193954670914,0.0166,0,0
2023-08-14,-0.0007238744927247076,0.00036397854073428774,1.5678526891948916e-05,0.003959611962294906,-0.0088176806580488,-0.010113607472519128,gaussian_copula_simulation,gaussian,6,0.49893841049338505,0.8240946723015818,0.0166,0,0
2023-08-16,-0.003422237233352554,0.0002858743137679283,1.5396826896608613e-05,0.003923879062434087,-0.008999377952219924,-0.010742056989931179,gaussian_copula_simulation,gaussian,6,0.49979765246677016,0.8244637407353161,0.0166,0,0
2023-08-17,0.00222374024134675,5.408826968832046e-05,1.0192402807824663e-05,0.0031925542764101385,-0.007653658006664786,-0.008842982488926043,gaussian_copula_simulation,gaussian,6,0.5001889819391582,0.8247370148750872,0.0164,0,0
2023-08-18,0.0024214519972516335,6.947659923004908e-05,1.091824048015322e-05,0.0033042760901827225,-0.0076717196738847375,-0.008793289371977452,gaussian_copula_simulation,gaussian,6,0.5009706307390823,0.8247594871060724,0.0164,0,0
2023-08-21,-0.002290415672827617,9.182771844891771e-05,1.1081557255370293e-05,0.0033288973032177325,-0.00747125708095232,-0.008745449451999641,gaussian_copula_simulation,gaussian,6,0.5021690650597512,0.8250766635881235,0.0164,0,0
2023-08-22,-0.00029223317708915175,9.50081137948577e-05,1.05149348289335e-05,0.0032426740244639917,-0.007301624382709224,-0.00850064300509969,gaussian_copula_simulation,gaussian,6,0.5036686293099961,0.8256680483888144,0.0164,0,0
2023-08-23,0.004618113724296435,9.353907545189286e-05,1.004939042170755e-05,0.0031700773526378736,-0.0070954506673874835,-0.008292472143368444,gaussian_copula_simulation,gaussian,6,0.5046620558231877,0.8264860858939697,0.0164,0,0
2023-08-24,-0.0002643358981302413,0.00010882086764164686,1.0187812456992897e-05,0.0031918352803665946,-0.0071163014829456845,-0.008293196238952354,gaussian_copula_simulation,gaussian,6,0.5039067935826403,0.8256565988871049,0.0164,0,0
2023-08-25,0.0003557252785051368,0.00012193831778833659,1.0258215723291048e-05,0.0032028449421242747,-0.007032610472160885,-0.008183855292793531,gaussian_copula_simulation,gaussian,6,0.5043175993000419,0.8266457790876682,0.0164,0,0
2023-08-28,0.002818547444641606,0.00012447551779435918,1.0453063269201237e-05,0.0032331197424780352,-0.007122139377674341,-0.00831089972382764,gaussian_copula_simulation,gaussian,6,0.5053995017121795,0.8272891372364748,0.0162,0,0
2023-08-29,-0.0006653005929280198,0.00013336815975866328,9.990661055471286e-06,0.003160800698473614,-0.00699407473468113,-0.008182651641364374,gaussian_copula_simulation,gaussian,6,0.5042528693409707,0.8263615573221581,0.0162,0,0
2023-08-30,-0.0023989728930273735,0.00013452542132512106,9.478989768026781e-06,0.00307879680525149,-0.006778122608918904,-0.0079639339919982,gaussian_copula_simulation,gaussian,6,0.5045647733256119,0.8264516650721409,0.016,0,0
