asset,mean_arch_volatility_forecast,mean_custom_volatility_forecast,mean_vol_forecast_gap,mean_vol_forecast_ratio,mean_arch_persistence,mean_custom_persistence,mean_persistence_gap,mean_arch_std_resid_sq_lag1_acf,mean_custom_std_resid_sq_lag1_acf,mean_std_resid_sq_acf_gap,mean_alpha_gap,mean_gamma_gap,mean_beta_gap,mean_nu_gap,arch_fallback_rate,custom_fallback_rate,arch_convergence_rate,custom_convergence_rate
AAL,0.021544082552332037,0.02206051375480487,0.0005164312024728353,1.025169463381735,0.9961009705959757,0.9970125183114533,0.0009115477154776101,-0.056834621836063574,-0.05886363928487455,-0.002029017448810976,-0.0008935066510337325,0.00543459699584,-0.0009122441314086627,-0.5110435534929834,0.0,0.0,1.0,1.0
BA,0.017783490693509034,0.017611887843345574,-0.00017160285016345748,0.9933048576892017,0.9898803087536808,0.9917466068425996,0.0018662980889188828,-0.02725025808855699,-0.02827044224069574,-0.001020184152138749,2.835206149880471e-06,0.0005851960886025637,0.0015708648384677264,-0.33848197973111976,0.0,0.0,1.0,1.0
CCL,0.03280675811680647,0.03265830558298935,-0.00014845253381712324,0.9953491970760765,0.9650698470601479,0.9624268618697264,-0.00264298519042158,0.017911823571263676,0.0177387832191136,-0.00017304035215007257,0.0014933158729657895,0.0017511566050745116,-0.00501187936592462,0.03092484661731436,0.0,0.0,1.0,1.0
DAL,0.021327671322884885,0.021289513879041273,-3.815744384360846e-05,0.9981744881138488,0.9488910947053724,0.9493799279407141,0.0004888332353416245,-0.05060021150853055,-0.05030371672932748,0.00029649477920306694,-0.0002551750852722413,-0.0004776801358925951,0.00098284838856016,-0.07284943291269637,0.0,0.0,1.0,1.0
JPM,0.012074451935459524,0.012006956616411855,-6.749531904766942e-05,0.9966434449791703,0.9642671558776458,0.9626920915727332,-0.0015750643049126398,0.002941861776075724,0.004274516606426225,0.0013326548303505006,0.00010692635962455529,0.0012652810791685912,-0.0023146312041214894,-0.07055710990580281,0.0,0.0,1.0,1.0
XOM,0.01734319323055182,0.01773548383776785,0.0003922906072160311,1.024972490561819,0.8911458849875122,0.8645645064451303,-0.026581378542382062,-0.036597113167209,-0.044389839966761595,-0.007792726799552603,0.008446701259048478,0.0035784165656974243,-0.03681728808427926,-0.11963536030522307,0.0,0.0,1.0,1.0
