date,asset,arch_volatility_forecast,custom_volatility_forecast,vol_forecast_gap,vol_forecast_ratio,arch_persistence,custom_persistence,persistence_gap,arch_std_resid_sq_lag1_acf,custom_std_resid_sq_lag1_acf,std_resid_sq_acf_gap,arch_fallback_used,custom_fallback_used,arch_converged,custom_converged,arch_mu,custom_mu,mu_gap,arch_omega,custom_omega,omega_gap,arch_alpha_sum,custom_alpha_sum,alpha_gap,arch_gamma_sum,custom_gamma_sum,gamma_gap,arch_beta_sum,custom_beta_sum,beta_gap,arch_nu,custom_nu,nu_gap
2023-07-12,AAL,0.019169375962740712,0.01936156566690133,0.00019218970416061756,1.0100258717098656,0.9870796221243358,0.98714792937913,6.830725479423094e-05,-0.06066228035833277,-0.06104819036437685,-0.00038591000604407816,0,0,1,1,8.432787839829976e-05,-4.746778551381717e-05,-0.00013179566391211694,1.1112600492370197e-05,1.2116946771436187e-05,1.0043462790659895e-06,0.0,1.9085430867428723e-06,1.9085430867428723e-06,0.07344880401708757,0.07708664413013822,0.0036378401130506416,0.950355220115792,0.9486026987709741,-0.0017525213448178478,8.358170637032242,8.216277285771712,-0.1418933512605296
2023-07-12,BA,0.017439505502435528,0.017498372357024023,5.886685458849489e-05,1.0033754887476753,0.9823536427877824,0.9825527663300954,0.00019912354231299556,-0.0026442838312413708,-0.0032042571131215866,-0.0005599732818802159,0,0,1,1,6.677060012598223e-05,5.148258261179716e-05,-1.5288017514185076e-05,1.0278337289224888e-05,1.047827229671364e-05,1.9993500748875243e-07,0.0,5.026719954667366e-06,5.026719954667366e-06,0.08295688349255952,0.08454799191741166,0.0015911084248521473,0.9408752010415026,0.9402737436514349,-0.0006014573900676723,5.434744778802799,5.340847390003214,-0.09389738879958553
2023-07-12,CCL,0.033389076658565,0.033477456727952916,8.838006938791804e-05,1.0026469755450769,0.9483540091559257,0.9488534734760153,0.0004994643200896265,0.014798149614694518,0.014646466487323033,-0.00015168312737148457,0,0,1,1,-0.0004265622615793849,-0.0004777730080895723,-5.121074651018737e-05,8.887328888436259e-05,8.974325783557046e-05,8.699689512078787e-07,0.0,7.78596910722202e-05,7.78596910722202e-05,0.12542819681126463,0.12800107572307334,0.0025728789118087125,0.8856399107502934,0.8847750759234064,-0.0008648348268869288,8.13673905644539,8.04346814143253,-0.09327091501285878
2023-07-12,DAL,0.020448231606759834,0.020490408593882774,4.217698712294035e-05,1.0020626227213212,0.9117753817012617,0.9118292574764117,5.3875775150036276e-05,-0.06171757402439159,-0.06191726873690908,-0.00019969471251748971,0,0,1,1,0.0008238321227059894,0.0008070602854300283,-1.677183727596108e-05,5.6728011784025256e-05,5.720291477950713e-05,4.749029954818714e-07,2.350328808185947e-11,1.1339313003177413e-05,1.1339289499889331e-05,0.1411051621702959,0.14265897307424516,0.0015538109039492654,0.8412228005926105,0.840488431626286,-0.0007343689663245057,8.06796543578187,8.040463362232003,-0.02750207354986678
2023-07-12,JPM,0.013171499801701568,0.013170576377933159,-9.234237684091484e-07,0.9999298922839227,0.8753153311446016,0.8769921079764167,0.0016767768318151077,-0.026594937054520814,-0.026815055010869754,-0.00022011795634893985,0,0,1,1,0.00014475864300489955,0.00014252176048956073,-2.236882515338826e-06,3.808694502437055e-05,3.778632524077357e-05,-3.0061978359697655e-07,0.0,3.460420403782567e-05,3.460420403782567e-05,0.241885965608705,0.24207471369340866,0.00018874808470364934,0.7543723483402491,0.7559201469256746,0.0015477985854254195,6.282547772866476,6.2486071651015855,-0.033940607764890274
2023-07-12,XOM,0.018751419046231645,0.018765375795141905,1.3956748910259192e-05,1.000744303611148,0.8258748408301437,0.8269128780985628,0.001038037268419112,-0.04877334200049811,-0.048904737683899295,-0.0001313956834011823,0,0,1,1,0.001451200874958756,0.0014572740095557225,6.0731345969664875e-06,6.702539621601172e-05,6.68434665282105e-05,-1.8192968780122087e-07,0.053657065957925236,0.054195639478890306,0.0005385735209650702,0.032763631227017136,0.03221755359326663,-0.0005460776337505024,0.7558359592587099,0.7566084618230392,0.0007725025643292582,9.696106652820186,9.639385742449136,-0.05672091037104998
2023-07-13,AAL,0.019131800489658863,0.01930695430481406,0.00017515381515519762,1.009155114033824,0.987067670432208,0.9875856090284744,0.0005179385962663652,-0.06252372681834631,-0.06249928644257194,2.4440375774370526e-05,0,0,1,1,4.814529396525904e-05,-9.822585108961155e-05,-0.00014637114505487058,1.1059372868542788e-05,1.1779983309494515e-05,7.206104409517272e-07,3.793400798430624e-12,7.307712297635308e-07,7.307674363627324e-07,0.07475198069715978,0.07828124514111535,0.003529264443955571,0.9496916800798347,0.9484442556866869,-0.0012474243931478446,8.403711086386934,8.251749455669405,-0.15196163071752977
2023-07-13,BA,0.017264554997946397,0.0173473740267413,8.281902879490183e-05,1.0047970555166208,0.9825109749865341,0.9829439522345835,0.0004329772480494709,-0.004272342149892261,-0.004666860869743849,-0.000394518719851588,0,0,1,1,5.2195631149570145e-05,1.8774037852839932e-05,-3.342159329673022e-05,1.0096779339967521e-05,1.0344641703990288e-05,2.4786236402276745e-07,0.0,2.9562054805881193e-06,2.9562054805881193e-06,0.08357803512292848,0.08595148960119917,0.002373454478270684,0.9407219574250698,0.9399652512285034,-0.0007567061965664257,5.4387689370332035,5.3240328454577455,-0.11473609157545805
2023-07-13,CCL,0.03528659402495007,0.03549489937724798,0.00020830535229791197,1.0059032433719908,0.9476489652031204,0.9480400132232348,0.0003910480201144706,0.01457342590920335,0.014085016468328609,-0.0004884094408747416,0,0,1,1,-0.0004772162338845241,-0.0005497505454643745,-7.253431157985043e-05,9.012730682535912e-05,9.184477474012733e-05,1.7174679147682084e-06,0.0005188601101139836,0.0012738934623115691,0.0007550333521975856,0.12562881571818263,0.12923698254975682,0.0036081668315741944,0.884315697233915,0.8821476284860449,-0.002168068747870122,8.211896568730138,8.11706382853869,-0.09483274019144794
2023-07-13,DAL,0.021002524578450022,0.021063365937090153,6.084135864013046e-05,1.0028968592995986,0.9119759551331187,0.911681439705171,-0.0002945154279476725,-0.0616385564229599,-0.061920127289934734,-0.000281570866974834,0,0,1,1,0.0007431880931773302,0.0007258632761741254,-1.7324817003204766e-05,5.658954082938071e-05,5.738328282712126e-05,7.937419977405502e-07,2.137945148764297e-11,3.5244777560792205e-05,3.524475618134072e-05,0.14150895407728736,0.14373806857741037,0.002229114500123003,0.8412214780730956,0.8397771606389051,-0.0014443174341904896,8.101360119880747,8.090322228570054,-0.011037891310692771
