basket,evaluation_days,start_date,end_date,gaussian_n_breaches,studentt_n_breaches,gaussian_breach_rate,studentt_breach_rate,gaussian_cvar_breach_rate,studentt_cvar_breach_rate,gaussian_avg_abs_corr,studentt_avg_abs_corr,gaussian_tail_dep,studentt_tail_dep
india_primary,252,2020-12-01,2023-12-29,4.0,2.0,0.015873015873015872,0.007936507936507936,0.007936507936507936,0.003968253968253968,0.5009298416536557,0.4933377363656977,0.016325396825396826,0.016325396825396826
us_stress,252,2021-01-05,2023-12-29,8.0,5.0,0.031746031746031744,0.01984126984126984,0.011904761904761904,0.003968253968253968,0.5121184705476286,0.4967454163306442,0.014392063492063494,0.014392063492063494
