copula_family,n_obs,n_breaches,breach_rate,portfolio_exception_clusters,kupiec_pvalue,christoffersen_pvalue,portfolio_cvar_breach_rate,asset_fit_convergence_rate,asset_fit_fallback_rate,mean_gross_exposure,mean_absolute_net_exposure,evt_usage_rate,mean_copula_avg_abs_correlation,mean_copula_max_abs_correlation,mean_copula_lower_tail_dependence
gaussian,252.0,8.0,0.031746031746031744,8.0,0.005695561131296212,0.4679366682502756,0.011904761904761904,1.0,0.0,1.0,0.0,1.0,0.5121184705476286,0.8874837554336877,0.014392063492063494
studentt,252.0,5.0,0.01984126984126984,5.0,0.16624023954521094,0.6520974168479388,0.003968253968253968,1.0,0.0,1.0,0.0,1.0,0.4967454163306442,0.8810656597404759,0.014392063492063494
