date,portfolio_return,portfolio_mean_forecast,portfolio_variance_forecast,portfolio_volatility_forecast,portfolio_var_forecast,portfolio_cvar_forecast,portfolio_risk_model,copula_family,copula_df,copula_avg_abs_correlation,copula_max_abs_correlation,copula_lower_tail_dependence,portfolio_var_breach,portfolio_cvar_breach
2022-12-21,-0.014091686473515885,0.0001968886167746001,2.045698494122344e-05,0.004522939856025442,-0.011371321980895108,-0.01436492771976484,studentt_copula_simulation,studentt,6,0.5023635913841673,0.8311359187136316,0.0186,1,0
2022-12-22,0.0008460514532395713,-0.0002566552010866081,1.5183619179380704e-05,0.003896616375700937,-0.00949030571558528,-0.012064688576214693,studentt_copula_simulation,studentt,6,0.4975138444121848,0.8324124193537648,0.017599999999999998,0,0
2022-12-23,0.007896640050181425,-0.0002512706353850915,1.4400739537172492e-05,0.0037948306335293135,-0.009187568315085987,-0.011743592952792084,studentt_copula_simulation,studentt,6,0.4985920611293399,0.8334341913880144,0.017599999999999998,0,0
2022-12-27,-0.008280677748476073,-0.00018267864562000188,2.6714796173620832e-05,0.005168635813599255,-0.011956720084629288,-0.014945472502685821,studentt_copula_simulation,studentt,6,0.49940826776500913,0.8318951078154422,0.018,0,0
2022-12-28,-0.0018822324964373749,-0.00021933330117935795,2.3220779808119937e-05,0.0048187944351383094,-0.011223727281366799,-0.014169388759194414,studentt_copula_simulation,studentt,6,0.4985291832486978,0.8319861816358326,0.018,0,0
2022-12-29,-0.0011016219956543338,-0.00025239138307214207,1.82573095710044e-05,0.004272857307587558,-0.010078720619061256,-0.0129356818883416,studentt_copula_simulation,studentt,6,0.4988066741832937,0.8326415802066658,0.018,0,0
2022-12-30,-0.001396751963634646,-0.0002634093685496785,1.53465356363993e-05,0.003917465460779367,-0.00936543968860484,-0.012065520629186666,studentt_copula_simulation,studentt,6,0.4992198678854619,0.8327863421282289,0.018,0,0
2023-01-02,-0.002209533845158873,-0.0002793721809793938,1.337612084870819e-05,0.0036573379456523005,-0.008879485961670095,-0.011433742281557554,studentt_copula_simulation,studentt,6,0.4988635452982029,0.8332058540427746,0.018,0,0
2023-01-03,0.0005720855959086002,-0.00029393175361498535,1.2311377697012642e-05,0.0035087572867060273,-0.008579340245110591,-0.011005645264132837,studentt_copula_simulation,studentt,6,0.49795835404696936,0.8328315721079198,0.0178,0,0
2023-01-04,0.0033513282788653065,-0.00028854259613964305,1.1611383719708946e-05,0.003407548050975796,-0.008377443126522976,-0.010630976233512179,studentt_copula_simulation,studentt,6,0.4986662323853868,0.8332904781265761,0.0178,0,0
2023-01-05,0.0020829963138622176,-0.0002688562593497106,1.323082675509143e-05,0.0036374203434702775,-0.008725599868517337,-0.011126100155642589,studentt_copula_simulation,studentt,6,0.49820111764863473,0.8328346704537616,0.018,0,0
2023-01-06,0.001166285456502436,-0.00027216865178663377,1.2144647348800623e-05,0.003484917122228393,-0.008451855385933276,-0.010688421616860129,studentt_copula_simulation,studentt,6,0.4971016428714069,0.8329354143560962,0.018,0,0
2023-01-09,-0.0036693341784741484,-0.00021555476463664406,1.0146268880449783e-05,0.0031853208441929024,-0.007749614775303356,-0.00954365015863995,studentt_copula_simulation,studentt,6,0.4974516566138137,0.8334446882697242,0.018,0,0
2023-01-10,0.00014833042396178442,-0.00028664261394075694,1.2428222223539028e-05,0.0035253683812530895,-0.008499946428915967,-0.010797033204989228,studentt_copula_simulation,studentt,6,0.4976885133582537,0.8327161666933296,0.018,0,0
2023-01-11,-0.004028450879487444,-0.00021229718019854954,9.910325351260996e-06,0.003148066922932388,-0.007610850199066432,-0.009469657192357645,studentt_copula_simulation,studentt,6,0.4968927992083884,0.8337207561937539,0.0182,0,0
