date,portfolio_return,portfolio_mean_forecast,portfolio_variance_forecast,portfolio_volatility_forecast,portfolio_var_forecast,portfolio_cvar_forecast,portfolio_risk_model,copula_family,copula_df,copula_avg_abs_correlation,copula_max_abs_correlation,copula_lower_tail_dependence,portfolio_var_breach,portfolio_cvar_breach
2023-12-15,-0.009684323073020806,7.097079427192198e-05,8.083930787145288e-06,0.0028432254196854123,-0.006793659193686717,-0.008955122115345394,studentt_copula_simulation,studentt,6,0.49865045478664555,0.8527780740618304,0.0162,1,1
2023-12-06,-0.007933158110664973,9.029319308249122e-05,1.503052980711313e-05,0.0038769227239027,-0.00911845479789163,-0.011087623343706365,studentt_copula_simulation,studentt,6,0.5022498362561202,0.8513248866440803,0.014599999999999998,0,0
2023-07-14,-0.007680890824672382,-0.00011614181197841358,1.195493807465314e-05,0.0034575913689522566,-0.008197523166239132,-0.009859523942816762,studentt_copula_simulation,studentt,6,0.4900564573837526,0.82082033334343,0.0162,0,0
2023-12-22,-0.007023339396458272,9.932086905789904e-05,1.3821198744162134e-05,0.00371768728434253,-0.008938358423672643,-0.011273581335021508,studentt_copula_simulation,studentt,6,0.5033652887196456,0.8496766709026732,0.0156,0,0
2023-09-04,-0.005935702626945538,8.152654079334288e-05,1.1792318344377003e-05,0.0034339945172316456,-0.008078596317378036,-0.0104497864517407,studentt_copula_simulation,studentt,6,0.49718916460994234,0.8263721062966083,0.0164,0,0
2023-07-31,-0.005766489234034999,-7.181233875318931e-05,1.247998097741603e-05,0.0035327016541757427,-0.008124371708740325,-0.010071859615421093,studentt_copula_simulation,studentt,6,0.48717170359076817,0.8162972666468047,0.016800000000000002,0,0
2023-11-15,-0.005657702541767673,4.349414323405645e-05,7.102429208387558e-06,0.0026650383127429064,-0.0063445862482490335,-0.007753920219124447,studentt_copula_simulation,studentt,6,0.5089080387950073,0.845747229096004,0.015,0,0
2023-12-05,-0.004485519248061731,7.167119833774495e-05,1.0021511263731798e-05,0.003165677062451538,-0.007483258019363014,-0.009228265307574385,studentt_copula_simulation,studentt,6,0.5020771065138395,0.8535373689529421,0.014799999999999999,0,0
2023-12-14,-0.004240661654704159,8.581809562621785e-05,8.466518281383009e-06,0.002909728214349754,-0.006849331764396589,-0.008953624225453653,studentt_copula_simulation,studentt,6,0.49768620234597083,0.8507531179241481,0.0162,0,0
2023-08-11,-0.004239869772858285,-8.820390671708402e-05,9.50081796821472e-06,0.0030823396905945845,-0.007315888693779756,-0.009008479200255399,studentt_copula_simulation,studentt,6,0.4919682177178724,0.822990700877428,0.0166,0,0
2023-11-16,-0.004162706061460852,4.197302776824029e-05,7.267363975246139e-06,0.0026958048844911123,-0.006415356293460871,-0.007848447344418908,studentt_copula_simulation,studentt,6,0.5101920044216983,0.8467246437258408,0.0152,0,0
2023-09-20,-0.003917409615834533,8.125354570249674e-05,9.138900805544684e-06,0.003023061495495036,-0.006969185635766825,-0.009128420002858885,studentt_copula_simulation,studentt,6,0.49582650173432186,0.828978616386765,0.0162,0,0
2023-10-09,-0.0038249803066192634,0.00013139416734707653,1.2866218255770661e-05,0.003586951108639573,-0.009339635431367389,-0.011901219680453634,studentt_copula_simulation,studentt,6,0.5019144390260506,0.8331996073282287,0.0154,0,0
2023-09-01,-0.003773564647689742,7.434249069437724e-05,1.015471158012236e-05,0.0031866458196860158,-0.007616180520011332,-0.009987278174167223,studentt_copula_simulation,studentt,6,0.498233128326918,0.826570994192716,0.0162,0,0
2023-07-18,-0.003705412650385931,-0.00012433456434363888,1.0283868004699617e-05,0.0032068470504063046,-0.007618612377050192,-0.009405737765267519,studentt_copula_simulation,studentt,6,0.49020709268717644,0.8191899686241768,0.016,0,0
2023-09-22,-0.0035657906835258046,-0.00011761988796485778,1.080084069438304e-05,0.0032864632501190456,-0.007996998751357592,-0.009344739499131827,studentt_copula_simulation,studentt,6,0.4956112461695792,0.8290126721019235,0.0158,0,0
2023-08-16,-0.003422237233352554,0.00018355502713726378,1.5177449517420125e-05,0.0038958246261119257,-0.009830587626332817,-0.012631441298961878,studentt_copula_simulation,studentt,6,0.4941149650057726,0.8243716848856947,0.0166,0,0
2023-11-23,-0.0033792707996673776,4.391214460024268e-05,6.385100048101601e-06,0.0025268755505765614,-0.005991333873076034,-0.007416699734403025,studentt_copula_simulation,studentt,6,0.5071932041646035,0.844737727878627,0.015,0,0
2023-08-10,-0.003268174212136543,-7.09003587684482e-05,9.673071546553833e-06,0.003110156193272909,-0.007297976143914688,-0.008996712429447438,studentt_copula_simulation,studentt,6,0.4892154480704658,0.8179503791124825,0.0166,0,0
2023-11-13,-0.002992814484526818,4.2233469385003495e-05,6.841996993765848e-06,0.0026157211230874457,-0.006243623411076711,-0.007644655339877803,studentt_copula_simulation,studentt,6,0.5091484369130235,0.845696306113709,0.015,0,0
