date,asset,model,volatility_forecast,variance_forecast,persistence,fallback_used,converged,std_resid_mean,std_resid_variance,std_resid_abs_mean,std_resid_lag1_acf,std_resid_sq_lag1_acf
2023-07-06,^CNXENERGY,garch_baseline,0.008646461520049959,7.476129681770466e-05,0.980808104808642,0,1,-0.03148002259027429,1.0000748229125151,0.7702154080499098,0.10433789951085037,0.13251511196824048
2023-07-06,^CNXIT,garch_baseline,0.01176124681180626,0.00013832692656822295,0.9824780903559953,0,1,-0.034925706804553355,0.9874139212829827,0.7598162858561889,0.046897216307888186,0.01915083719776338
2023-07-06,^CNXPHARMA,garch_baseline,0.007708658945572011,5.942342273914739e-05,0.9954545342363589,0,1,-0.004165886930611059,0.9979061817021717,0.7578405671953253,0.03293825714639497,0.023207957828054758
2023-07-06,^NSEBANK,garch_baseline,0.007677167536980938,5.8938901390873974e-05,0.9886956968824938,0,1,-0.050516073489467954,0.9629236973474424,0.7300970369638958,0.09177552322930975,0.09433770239108961
2023-07-06,^NSEI,garch_baseline,0.00603553352214882,3.642766489698214e-05,0.9895909518371362,0,1,-0.04987784019734606,0.9973306001771947,0.7800736165053948,0.08295167227503351,0.07655565709450696
2023-07-07,^CNXENERGY,garch_baseline,0.01033751183372976,0.00010686415091250283,0.9764797631663709,0,1,-0.03269653040895986,0.9977904258750715,0.7687345672907903,0.10523949599818198,0.12817791619390942
2023-07-07,^CNXIT,garch_baseline,0.011598434820097613,0.00013452369027605273,0.982986746162445,0,1,-0.036054284994799644,0.9879431382529479,0.7594726402998428,0.0465289880620252,0.019538781465204866
2023-07-07,^CNXPHARMA,garch_baseline,0.007729432913603384,5.9744133165895306e-05,0.995419872292042,0,1,-0.005102031168431843,0.9968050945598799,0.7570891659794095,0.03321516685782834,0.021501358026822154
2023-07-07,^NSEBANK,garch_baseline,0.007439309605007492,5.534332739915673e-05,0.9898337007625063,0,1,-0.05205129658122857,0.9669902139956997,0.7320120139768117,0.09027972668206086,0.09635750130170852
2023-07-07,^NSEI,garch_baseline,0.005958208800485524,3.550025211018315e-05,0.9899631472959651,0,1,-0.05184394020989727,0.9976455884323401,0.7802754411816362,0.0818705557153394,0.07713424179966023
2023-07-10,^CNXENERGY,garch_baseline,0.01046292434504191,0.0001094727858500707,0.9750202820593841,0,1,-0.033383032291387664,0.9993676785635457,0.7701008547489833,0.0998999809187432,0.12679052131625346
2023-07-10,^CNXIT,garch_baseline,0.011546513326963338,0.00013332197000974198,0.9834600703733105,0,1,-0.036022559462890846,0.9897581665541633,0.7606833524817265,0.04712666484340339,0.019918334425576657
2023-07-10,^CNXPHARMA,garch_baseline,0.007713882387061585,5.9503981481418934e-05,0.9953258130571264,0,1,-0.003777265060826714,0.9962897889042056,0.7576737609494385,0.03169250401097269,0.024530694250316402
2023-07-10,^NSEBANK,garch_baseline,0.00789609915180633,6.234838181515663e-05,0.9878708958664812,0,1,-0.050776480498056185,0.9642043712306402,0.7310668846828746,0.08788214407641051,0.09493899839369552
2023-07-10,^NSEI,garch_baseline,0.006307539215491058,3.978505095495756e-05,0.9890218836194229,0,1,-0.05117548889519388,0.9971558471030606,0.7800449250882159,0.07847337234642121,0.07637791179061562
2023-07-11,^CNXENERGY,garch_baseline,0.010220698396473209,0.00010446267571167002,0.9747866712780553,0,1,-0.0349882963117513,1.000668686576449,0.7708347611184487,0.09810387377474887,0.1275622311358496
2023-07-11,^CNXIT,garch_baseline,0.011652350376164623,0.00013577726928890382,0.9834554355459064,0,1,-0.034413094689853284,0.9909791362652473,0.7615477297075554,0.04937515192498526,0.019804366542726038
2023-07-11,^CNXPHARMA,garch_baseline,0.007547280707436469,5.6961446076842726e-05,0.9956796425443011,0,1,-0.00352431013671011,0.9959138384984565,0.7582152614267113,0.032638709695190275,0.03003190320449173
2023-07-11,^NSEBANK,garch_baseline,0.0076716874327032196,5.885478806509652e-05,0.9894220079502175,0,1,-0.050493302262368145,0.9624975525257762,0.7298021309154566,0.08745689396886108,0.09550361363630704
2023-07-11,^NSEI,garch_baseline,0.006119137485875866,3.744384357105121e-05,0.9898709989610363,0,1,-0.051814954873636174,0.9980836840568786,0.7797663917391343,0.07726011779339102,0.07561950414738433
2023-07-12,^CNXENERGY,garch_baseline,0.0101615960021346,0.00010325803331059788,0.9736277351166401,0,1,-0.037484145117477836,0.9991450230154634,0.7702770828226392,0.09859025623116341,0.12700900035282112
2023-07-12,^CNXIT,garch_baseline,0.011495489449561299,0.00013214627768497514,0.9842138992356332,0,1,-0.03569728608123659,0.9914962321138943,0.7614942822140073,0.04850490041223699,0.01977990071276274
2023-07-12,^CNXPHARMA,garch_baseline,0.00765202582973548,5.855349929893896e-05,0.9952987622603513,0,1,-0.003717040774158839,0.9948387702375817,0.7580952095808707,0.03107031386145006,0.03087446686269885
2023-07-12,^NSEBANK,garch_baseline,0.007480229937054304,5.595383991120344e-05,0.9901785455602947,0,1,-0.0499229595294079,0.9658133353965405,0.7312010208155039,0.0870915516545099,0.09648820337224767
2023-07-12,^NSEI,garch_baseline,0.006003403008762451,3.604084768561805e-05,0.9903921037896694,0,1,-0.05312763815696893,0.9985325282217543,0.7799148903713147,0.077644911454485,0.07603393053415078
2023-07-13,^CNXENERGY,garch_baseline,0.009815521489208685,9.634446210511749e-05,0.9743022956480174,0,1,-0.038519513759205315,1.0005275065282928,0.7705171220916561,0.09826481083893514,0.12806224789777895
2023-07-13,^CNXIT,garch_baseline,0.011381955788162349,0.0001295489175636824,0.9851589406081428,0,1,-0.03499713551243883,0.9938434966666048,0.76339654604704,0.04809632778279563,0.021059843787000695
2023-07-13,^CNXPHARMA,garch_baseline,0.00751312523559494,5.6447050805733525e-05,0.9956065156225491,0,1,-0.004157957937313171,0.9941944315075399,0.758112425445853,0.03314661141828705,0.034915457664177106
2023-07-13,^NSEBANK,garch_baseline,0.007283305688144008,5.304654174695086e-05,0.9908530720851078,0,1,-0.048875378435040404,0.9693809209816345,0.7328306896038478,0.08583695026085188,0.09930061067928243
2023-07-13,^NSEI,garch_baseline,0.005905949739405914,3.488024232438878e-05,0.9909694247450256,0,1,-0.0519645099323923,0.9998027366955171,0.7808301843299232,0.07600147537911339,0.07652387912919216
2023-07-14,^CNXENERGY,garch_baseline,0.011602460408840002,0.0001346170875386997,0.8585862858618203,0,1,-0.045632364349343195,1.0023596248005935,0.7724662633608886,0.0959517400479097,0.06444972791600594
2023-07-14,^CNXIT,garch_baseline,0.01172259993897348,0.00013741934932922107,0.9837303902648942,0,1,-0.03663950152229065,0.9909344319439155,0.762181129651283,0.046569305585659956,0.021231910708943383
2023-07-14,^CNXPHARMA,garch_baseline,0.007412100632657478,5.493923578864138e-05,0.995845761704161,0,1,-0.0035244182334928952,0.9933713734704497,0.7579186295184341,0.033175102346049326,0.03853977113419932
2023-07-14,^NSEBANK,garch_baseline,0.007085508988835154,5.0204437630863774e-05,0.9924922045685096,0,1,-0.04995481355436886,0.9656000503758936,0.7308342455801996,0.08583993543495738,0.10184631939573292
2023-07-14,^NSEI,garch_baseline,0.005744791277217573,3.300262681879511e-05,0.9916641983690224,0,1,-0.05149806387674475,1.000105080801392,0.7800270701067838,0.07485905889761918,0.07696124215287789
2023-07-17,^CNXENERGY,garch_baseline,0.010727943245302234,0.00011508876627442581,0.8435103427159434,0,1,-0.046240539306451965,1.003316176081899,0.7724890379667617,0.09471028169102393,0.05911488033241241
2023-07-17,^CNXIT,garch_baseline,0.013652132564792013,0.00018638072356665455,0.9809158410135852,0,1,-0.032654250353552725,0.989503285948119,0.7583195963594669,0.056029423178479774,0.02856210576208435
2023-07-17,^CNXPHARMA,garch_baseline,0.007252109152122058,5.259308715429251e-05,0.9962511105414209,0,1,-0.0041106612654738936,0.9938296243541589,0.759082756501663,0.03270262752369529,0.04753217619886026
2023-07-17,^NSEBANK,garch_baseline,0.00683692096482702,4.674348827929123e-05,0.9939510873671256,0,1,-0.050104530028310716,0.9673501266372165,0.7312419656809952,0.08673691027410467,0.10378188118114266
2023-07-17,^NSEI,garch_baseline,0.005853662082885042,3.426535978060604e-05,0.9913834221716262,0,1,-0.05204889879774776,1.0007428010991837,0.7808012627203279,0.07684745709237795,0.07783512470853733
2023-07-18,^CNXENERGY,garch_baseline,0.010401007467846864,0.00010818095634620622,0.8334484396399743,0,1,-0.04762653136228216,1.0030977174035405,0.7724400270836586,0.09326629298745333,0.05603513436151126
2023-07-18,^CNXIT,garch_baseline,0.013416249374189781,0.0001799957472704477,0.9822637789951804,0,1,-0.032819723403638944,0.9916672925263674,0.7595053257434735,0.056857864493601445,0.02102628432641784
2023-07-18,^CNXPHARMA,garch_baseline,0.007289995630265573,5.3144036289291143e-05,0.9960860990527823,0,1,-0.004679885571470343,0.9923152673851157,0.7585371966361303,0.035310198567026545,0.04611012178444575
2023-07-18,^NSEBANK,garch_baseline,0.00778176820996321,6.0555916473594015e-05,0.9900400931757525,0,1,-0.05073222192630155,0.9613488287431406,0.7290474087155311,0.08836045131258799,0.10155178050209852
2023-07-18,^NSEI,garch_baseline,0.005986817888805687,3.584198843372379e-05,0.9904630572986938,0,1,-0.054458604225847654,0.998156291282468,0.7799892097107777,0.07948394930237136,0.07852404205343108
2023-07-19,^CNXENERGY,garch_baseline,0.009867617660589996,9.736987829558758e-05,0.8234418376693409,0,1,-0.04914104794774456,1.0024513444549903,0.7717167473055282,0.09270210646968961,0.05273649418982776
2023-07-19,^CNXIT,garch_baseline,0.013303918307330633,0.0001769942423281272,0.9829907139181399,0,1,-0.03352849610755827,0.9932588410609243,0.7606209292334885,0.05690582350285969,0.02185163263104818
2023-07-19,^CNXPHARMA,garch_baseline,0.007070743802224181,4.999541791669167e-05,0.9978016489543257,0,1,-0.0007613967352118785,1.0235812189489886,0.7704486251513722,0.02706980051752586,0.08054191901990816
2023-07-19,^NSEBANK,garch_baseline,0.0075235791691679625,5.6604243514738094e-05,0.9917549996118336,0,1,-0.050428533747475315,0.9599691756891159,0.727826885232166,0.08686679869128867,0.10092002664115497
2023-07-19,^NSEI,garch_baseline,0.005805476596099031,3.370355850785359e-05,0.9912585592138566,0,1,-0.05553397216919235,0.9985807673253017,0.7796287657436435,0.0795136720793025,0.07802863583452897
2023-07-20,^CNXENERGY,garch_baseline,0.009927055551641525,9.85464319253768e-05,0.80605008023253,0,1,-0.050232524363022855,1.003402004826316,0.772579406463131,0.09254803115764251,0.047900453287256055
2023-07-20,^CNXIT,garch_baseline,0.013091114325559957,0.0001713772742848811,0.984285477030544,0,1,-0.033894094892607855,0.9941945189382715,0.7604394329891426,0.056642106237501454,0.02289933823729933
2023-07-20,^CNXPHARMA,garch_baseline,0.006931632425694194,4.8047528084935186e-05,0.9975993358458533,0,1,-0.0021428237566202242,1.0094938705683982,0.7666735612040929,0.02705759031234883,0.07946142189724739
2023-07-20,^NSEBANK,garch_baseline,0.007384435227319518,5.452988362647747e-05,0.9920120319274696,0,1,-0.05139614018268268,0.9640201125413852,0.7298287211965071,0.08509435474681136,0.10137362226915698
2023-07-20,^NSEI,garch_baseline,0.00568019370071198,3.2264600477608055e-05,0.9918406259131907,0,1,-0.056488321818149397,0.9994912801148084,0.7806555293264317,0.07967458172406994,0.07841829034059646
2023-07-21,^CNXENERGY,garch_baseline,0.009856549032933714,9.715155883862652e-05,0.7960275150119344,0,1,-0.050168738731773535,1.0040104044565,0.7729736276729453,0.09336978909734854,0.04517444254659092
2023-07-21,^CNXIT,garch_baseline,0.012933631033792326,0.00016727881171827593,0.9854166391725301,0,1,-0.03352068397015726,0.9955781068926243,0.7612404191441442,0.05860637373835641,0.027492661946431796
2023-07-21,^CNXPHARMA,garch_baseline,0.006914235424885572,4.780665151074257e-05,0.9974919243437668,0,1,-0.0028610205286976366,0.9934394987637161,0.7609917821671586,0.030196731104249645,0.07751371918859339
2023-07-21,^NSEBANK,garch_baseline,0.00783168735779174,6.133532687019495e-05,0.9901841872764189,0,1,-0.05228645789497767,0.9601204158987678,0.7284915135780059,0.08835696101720236,0.1007978432072671
2023-07-21,^NSEI,garch_baseline,0.005779944025995792,3.3407752943644445e-05,0.9915150690232976,0,1,-0.0566378559299131,0.9992009418479222,0.7805429632220477,0.08049504148974043,0.07843080091588762
2023-07-24,^CNXENERGY,garch_baseline,0.010020797397953717,0.00010041638049083599,0.7859551990673534,0,1,-0.050233066691689685,1.0050272394411353,0.7737570258518786,0.0917498390155393,0.04274039352255651
